case_id,category,test_case,result
1,Factual Q&A,Evaluation case 1 for Factual Q&A,PASS
2,Factual Q&A,Evaluation case 2 for Factual Q&A,PASS
3,Factual Q&A,Evaluation case 3 for Factual Q&A,PASS
4,Factual Q&A,Evaluation case 4 for Factual Q&A,PASS
5,Factual Q&A,Evaluation case 5 for Factual Q&A,PASS
6,Factual Q&A,Evaluation case 6 for Factual Q&A,PASS
7,Factual Q&A,Evaluation case 7 for Factual Q&A,PASS
8,Factual Q&A,Evaluation case 8 for Factual Q&A,PASS
9,Prediction sanity,Evaluation case 1 for Prediction sanity,PASS
10,Prediction sanity,Evaluation case 2 for Prediction sanity,PASS
11,Prediction sanity,Evaluation case 3 for Prediction sanity,PASS
12,Prediction sanity,Evaluation case 4 for Prediction sanity,PASS
13,Prediction sanity,Evaluation case 5 for Prediction sanity,PASS
14,Prediction sanity,Evaluation case 6 for Prediction sanity,FAIL
15,Scope guardrails,Evaluation case 1 for Scope guardrails,PASS
16,Scope guardrails,Evaluation case 2 for Scope guardrails,PASS
17,Scope guardrails,Evaluation case 3 for Scope guardrails,PASS
18,Scope guardrails,Evaluation case 4 for Scope guardrails,PASS
19,Scope guardrails,Evaluation case 5 for Scope guardrails,PASS
20,Scope guardrails,Evaluation case 6 for Scope guardrails,PASS
21,Scope guardrails,Evaluation case 7 for Scope guardrails,PASS
22,Scope guardrails,Evaluation case 8 for Scope guardrails,PASS
23,Scope guardrails,Evaluation case 9 for Scope guardrails,PASS
24,Scope guardrails,Evaluation case 10 for Scope guardrails,PASS
25,Conversational coherence,Evaluation case 1 for Conversational coherence,PASS
26,Conversational coherence,Evaluation case 2 for Conversational coherence,PASS
27,Conversational coherence,Evaluation case 3 for Conversational coherence,PASS
28,Conversational coherence,Evaluation case 4 for Conversational coherence,PASS
29,Conversational coherence,Evaluation case 5 for Conversational coherence,PASS
30,Conversational coherence,Evaluation case 6 for Conversational coherence,PASS
31,Conversational coherence,Evaluation case 7 for Conversational coherence,FAIL
32,Conversational coherence,Evaluation case 8 for Conversational coherence,FAIL
